"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "SCSS", "JSON", "PostCSS", "comment", "blank", "total"
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/button/button-colors.scss", "SCSS", 0, 0, 0, 0, 302, 0, 0, 81, 47, 430
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/button/button-group.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/button/button.scss", "SCSS", 0, 0, 0, 0, 238, 0, 0, 20, 57, 315
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/button/button.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 0, 2, 13, 115
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/button/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/card/card.scss", "SCSS", 0, 0, 0, 0, 67, 0, 0, 0, 11, 78
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/card/card.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/card/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/dropdown-menu/dropdown-menu.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 5, 10, 64
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/dropdown-menu/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 14, 97
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/dropdown-menu/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/input/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/input/input.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 8, 46
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/input/input.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
